Year,Geography,Labour force status,Age,Gender,Value
2021,Trent Lakes,Employment rate,45 to 54 years,Total (all genders),71.9
2021,Trent Lakes,Employment rate,45 to 54 years,Men+,75.3
2021,Trent Lakes,Employment rate,45 to 54 years,Women+,67.5
2021,Trent Lakes,Employment rate,55 to 64 years,Total (all genders),52.6
2021,Trent Lakes,Employment rate,55 to 64 years,Men+,50.0
2021,Trent Lakes,Employment rate,55 to 64 years,Women+,56.2
2021,Trent Lakes,Employment rate,65 years and over,Total (all genders),13.6
2021,Trent Lakes,Employment rate,65 years and over,Men+,15.8
2021,Trent Lakes,Employment rate,65 years and over,Women+,10.2
2021,Trent Lakes,Unemployment rate,Total (all ages),Total (all genders),9.6
2021,Trent Lakes,Unemployment rate,Total (all ages),Men+,9.2
2021,Trent Lakes,Unemployment rate,Total (all ages),Women+,9.7
2021,Trent Lakes,Unemployment rate,15 to 24 years,Total (all genders),14.0
2021,Trent Lakes,Unemployment rate,15 to 24 years,Men+,12.5
2021,Trent Lakes,Unemployment rate,15 to 24 years,Women+,22.2
2021,Trent Lakes,Unemployment rate,25 to 34 years,Total (all genders),9.1
2021,Trent Lakes,Unemployment rate,25 to 34 years,Men+,6.1
2021,Trent Lakes,Unemployment rate,25 to 34 years,Women+,12.1
2021,Trent Lakes,Unemployment rate,35 to 44 years,Total (all genders),12.5
2021,Trent Lakes,Unemployment rate,35 to 44 years,Men+,9.5
2021,Trent Lakes,Unemployment rate,35 to 44 years,Women+,16.2
2021,Trent Lakes,Unemployment rate,45 to 54 years,Total (all genders),10.7
2021,Trent Lakes,Unemployment rate,45 to 54 years,Men+,9.8
2021,Trent Lakes,Unemployment rate,45 to 54 years,Women+,11.3
2021,Trent Lakes,Unemployment rate,55 to 64 years,Total (all genders),6.4
2021,Trent Lakes,Unemployment rate,55 to 64 years,Men+,6.0
2021,Trent Lakes,Unemployment rate,55 to 64 years,Women+,5.7
2021,Trent Lakes,Unemployment rate,65 years and over,Total (all genders),11.1
2021,Trent Lakes,Unemployment rate,65 years and over,Men+,15.0
2021,Trent Lakes,Unemployment rate,65 years and over,Women+,0.0
